Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail
"Jul 2-16, 2019",National,SurveyMonkey,"5,548",RV,D-,25,16,14,16,8,3,2,1,1,3,0,2,1,1,-1,7/16/2019,0.0,0.0,0.0,1.0,0.0
"Jul 2-16, 2019",Tennessee,SurveyMonkey,128,RV,D-,33,13,12,18,6,1,0,0,0,1,0,1,1,1,-1,7/16/2019,0.0,0.0,0.0,1.0,0.0
"Jul 2-16, 2019",Alabama,SurveyMonkey,257,RV,D-,36,15,13,9,5,2,1,1,1,1,1,0,0,0,-1,7/16/2019,0.0,0.0,0.0,1.0,0.0
"Jul 14-16, 2019",National,YouGov,572,LV,B,23,13,10,15,7,3,1,2,0,2,0,1,1,1,1,7/16/2019,0.0,0.0,0.0,1.0,0.0
"Jul 10-15, 2019",California,Quinnipiac University,519,RV,A-,21,18,23,16,3,1,2,0,0,1,0,1,0,0,0,7/15/2019,0.5,0.5,0.0,0.0,0.0
"Jul 8-15, 2019",New Hampshire,University of New Hampshire,386,LV,B,24,19,9,19,10,2,1,0,1,2,1,0,1,0,0,7/15/2019,313.0,73.0,0.0,0.0,0.0
"Jul 8-14, 2019",National,Morning Consult,"16,504",LV,B-,32,19,13,14,5,2,2,0,0,3,1,1,1,1,-1,7/14/2019,0.0,0.0,0.0,1.0,0.0
"Jul 12-14, 2019",Colorado,Public Policy Polling*,561,V,B,22,15,9,19,7,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,7/14/2019,0.5,0.0,0.0,0.5,0.0
"Jul 3-14, 2019",National,YouGov,"1,097",LV,B,25,16,17,23,6,1,2,0,1,3,1,2,2,0,-1,7/14/2019,0.0,0.0,0.0,1.0,0.0
"Jul 12-13, 2019",National,HarrisX,446,RV,C+,29,16,11,9,1,1,0,1,0,3,1,1,1,1,0,7/13/2019,0.0,0.0,0.0,1.0,0.0
"Jul 10-12, 2019",New Hampshire,Saint Anselm College,351,LV,Missing,21,10,18,17,12,1,5,-1,2,0,-1,-1,1,3,-1,7/12/2019,0.5,0.5,0.0,0.0,0.0
"Jul 9-11, 2019",California,Change Research,"1,609",LV,C+,17,20,23,22,8,1,2,0,0,2,0,1,2,1,0,7/11/2019,0.0,0.0,0.0,1.0,0.0
"Jul 10-11, 2019",Missouri,Remington Research Group,"1,122",LV,C,43,4,13,15,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7/11/2019,400.0,1600.0,0.0,0.0,0.0
"Jul 7-10, 2019",South Carolina,Fox News,701,LV,A,35,14,12,5,2,3,1,0,1,0,1,0,0,0,0,7/10/2019,430.0,271.0,0.0,0.0,0.0
"Jul 6-9, 2019",New Hampshire,Change Research,"1,084",LV,C+,19,20,15,22,13,1,1,0,1,1,0,0,3,1,-1,7/9/2019,0.0,0.0,0.0,1.0,0.0
"Jul 7-9, 2019",National,NBC News/Wall Street Journal,400,LV,A-,26,13,13,19,7,1,2,0,1,2,1,1,0,1,-1,7/9/2019,451.0,359.0,0.0,0.0,0.0
"Jul 7-9, 2019",National,YouGov,592,LV,B,22,11,14,17,5,1,1,1,0,2,0,2,2,1,-1,7/9/2019,0.0,0.0,0.0,1.0,0.0
"Jul 6-8, 2019",National,Emerson College,481,LV,B+,30,15,15,15,5,2,3,0,0,4,0,0,2,1,-1,7/8/2019,0.0,724.0,0.0,376.0,0.0
"Jul 1-7, 2019",National,Morning Consult,"16,599",LV,B-,31,19,14,13,6,2,1,1,1,3,1,1,1,1,-1,7/7/2019,0.0,0.0,0.0,1.0,0.0
"Jun 29-Jul 4, 2019",Iowa,Change Research,420,LV,C+,16,16,16,18,25,1,1,-1,0,2,1,1,1,1,-1,7/4/2019,0.0,0.0,0.0,1.0,0.0
"Jun 29-Jul 4, 2019",New Hampshire,Change Research,420,LV,C+,13,26,13,24,14,2,2,-1,0,2,0,0,2,1,-1,7/4/2019,0.0,0.0,0.0,1.0,0.0
"Jun 29-Jul 4, 2019",South Carolina,Change Research,421,LV,C+,27,16,21,15,6,6,1,-1,1,1,1,1,2,0,-1,7/4/2019,0.0,0.0,0.0,1.0,0.0
"Jun 28-Jul 2, 2019",National,Ipsos,"1,173",RV,B+,24,17,11,11,4,1,3,0,0,3,0,1,0,1,-1,7/2/2019,0.0,0.0,0.0,1.0,0.0
"Jun 30-Jul 2, 2019",National,YouGov,631,LV,B,21,10,13,18,9,2,0,1,0,3,0,2,1,1,-1,7/2/2019,0.0,0.0,0.0,1.0,0.0
"Jun 27-Jul 2, 2019",National,YouGov Blue/Data for Progress,"1,522",LV,Missing,23,15,17,22,7,2,2,0,0,2,1,1,1,1,-1,7/2/2019,0.0,0.0,0.0,1.0,0.0
"Jun 28-Jul 1, 2019",National,ABC News/Washington Post,397,RV,A+,30,19,13,12,4,1,0,0,1,2,0,3,1,2,-1,7/1/2019,650.0,350.0,0.0,0.0,0.0
"Jun 28-Jul 1, 2019",National,Change Research,"1,185",LV,C+,18,17,21,22,10,0,2,0,1,2,1,1,1,1,-1,7/1/2019,0.0,0.0,0.0,1.0,0.0
"Jun 29-Jul 1, 2019",Iowa,David Binder Research,600,LV,Missing,17,12,18,20,10,2,1,1,1,1,1,1,1,4,-1,7/1/2019,0.5,0.5,0.0,0.0,0.0
"Jun 29-Jul 1, 2019",National,HarrisX,882,RV,C+,28,14,13,9,4,2,1,1,1,3,1,2,1,1,-1,7/1/2019,0.0,0.0,0.0,1.0,0.0
"Jun 28-Jul 1, 2019",National,Quinnipiac University,554,RV,A-,22,13,20,14,4,3,1,0,0,1,0,1,1,1,-1,7/1/2019,0.5,0.5,0.0,0.0,0.0
"Jun 28-Jul 1, 2019",Iowa,Suffolk University,500,LV,B+,24,9,16,13,6,2,1,0,0,1,1,1,1,2,-1,7/1/2019,0.5,0.5,0.0,0.0,0.0
"Jun 1-30, 2019",California,Capitol Weekly,703,LV,Missing,23,19,14,23,8,2,2,0,0,2,0,0,2,1,-1,6/30/2019,0.0,0.0,0.0,1.0,0.0
"Jun 28-30, 2019",National,CNN/SSRS,656,RV,A-,22,14,17,15,4,3,1,1,0,3,0,1,1,2,-1,6/30/2019,1048.0,565.0,0.0,0.0,0.0
"Jun 29-30, 2019",National,HarrisX,449,RV,C+,33,15,11,9,6,2,1,0,0,4,0,1,1,0,-1,6/30/2019,0.0,0.0,0.0,1.0,0.0
"Jun 27-30, 2019",National,Morning Consult,"2,485",LV,B-,31,17,17,14,6,3,1,0,0,2,0,2,1,1,-1,6/30/2019,0.0,0.0,0.0,1.0,0.0
"Jun 26-29, 2019",National,Harris Interactive,845,RV,C+,34,15,9,11,3,3,1,-1,0,2,1,1,2,1,-1,6/29/2019,0.0,0.0,0.0,1.0,0.0
"Jun 26-28, 2019",National,HarrisX,888,RV,C+,30,20,5,10,4,3,1,1,0,3,0,1,1,1,-1,6/28/2019,0.0,0.0,0.0,1.0,0.0
"Jun 27-28, 2019",National,Morning Consult,"2,407",LV,B-,33,19,12,12,6,3,2,1,0,2,1,1,1,1,-1,6/28/2019,0.0,0.0,0.0,1.0,0.0
"Jun 26-27, 2019",National,Morning Consult,"2,041",LV,B-,33,17,7,17,5,4,1,1,0,3,0,3,1,1,-1,6/27/2019,0.0,0.0,0.0,1.0,0.0
"Jun 24-26, 2019",National,HarrisX,892,RV,C+,29,17,6,9,3,1,1,1,1,4,1,1,0,1,-1,6/26/2019,0.0,0.0,0.0,1.0,0.0
"Jun 19-26, 2019",National,Morning Consult,"7,150",LV,B-,35,18,6,12,6,3,1,0,0,4,0,1,0,1,-1,6/26/2019,0.0,0.0,0.0,1.0,0.0
"Jun 25-26, 2019",National,YouGov Blue/Data for Progress,"1,402",LV,Missing,30,16,7,24,7,2,2,0,0,3,0,1,1,1,-1,6/26/2019,0.0,0.0,0.0,1.0,0.0
"Jun 22-25, 2019",National,Echelon Insights,484,RV,Missing,32,15,6,11,9,2,1,1,0,3,0,0,0,1,-1,6/25/2019,0.0,0.0,0.0,1.0,0.0
"Jun 22-25, 2019",National,YouGov,522,LV,B,24,15,7,18,5,2,1,1,0,3,0,1,3,1,-1,6/25/2019,0.0,0.0,0.0,1.0,0.0
"Jun 21-24, 2019",National,Emerson College,457,LV,B+,34,27,7,14,6,3,1,0,0,1,0,0,0,1,-1,6/24/2019,0.0,697.0,0.0,399.0,0.0
24-Jun-19,Maine,Gravis Marketing,243,RV,C+,25,15,2,17,8,3,5,0,3,1,-1,0,0,0,-1,6/24/2019,0.5,0.5,0.0,0.5,0.0
"Jun 18-24, 2019",National,McLaughlin & Associates,459,LV,C-,34,17,6,11,6,2,1,1,0,4,0,0,1,1,-1,6/24/2019,0.0,0.0,0.0,1.0,0.0
"Jun 17-23, 2019",National,Morning Consult,"16,188",LV,B-,38,19,6,13,7,3,2,1,0,4,1,1,1,1,-1,6/23/2019,0.0,0.0,0.0,1.0,0.0
"Jun 22-23, 2019",Florida,St. Pete Polls,"2,022",LV,B-,47,8,6,12,8,3,-1,-1,-1,2,-1,-1,-1,-1,-1,6/23/2019,0.0,2022.0,0.0,0.0,0.0
"Jun 19-21, 2019",National,Change Research,"1,071",LV,C+,24,22,8,22,13,2,1,0,0,2,0,1,1,1,-1,6/21/2019,0.0,0.0,0.0,1.0,0.0
"Jun 20-21, 2019",Mississippi,Chism Strategies,523,LV,Missing,50,7,5,7,2,2,0,1,0,1,1,-1,-1,1,-1,6/21/2019,0.0,256.0,267.0,0.0,0.0
"Jun 17-20, 2019",Iowa,Change Research,308,LV,C+,27,18,4,20,17,5,1,0,0,1,2,1,1,2,-1,6/20/2019,0.0,0.0,0.0,1.0,0.0
"Jun 17-20, 2019",New Hampshire,Change Research,308,LV,C+,24,28,3,21,14,0,1,0,0,4,1,0,1,1,-1,6/20/2019,0.0,0.0,0.0,1.0,0.0
"Jun 17-20, 2019",South Carolina,Change Research,308,LV,C+,39,13,9,15,11,5,2,1,0,5,0,0,0,0,-1,6/20/2019,0.0,0.0,0.0,1.0,0.0
"Jun 16-18, 2019",National,YouGov,576,LV,B,26,13,7,14,9,2,1,1,0,4,1,1,1,1,-1,6/18/2019,0.0,0.0,0.0,1.0,0.0
"Jun 16-17, 2019",Florida,Change Research,"1,130",LV,C+,33,20,7,15,15,2,3,-1,0,3,0,1,0,2,-1,6/17/2019,0.0,0.0,0.0,1.0,0.0
"Jun 12-17, 2019",National,Monmouth University,306,RV,A+,32,14,8,15,5,2,2,1,1,3,0,0,1,1,-1,6/17/2019,450.0,301.0,0.0,0.0,0.0
"Jun 12-17, 2019",Florida,Quinnipiac University,417,RV,A-,41,14,6,12,8,1,0,0,0,1,0,0,0,1,-1,6/17/2019,0.5,0.5,0.0,0.0,0.0
"Jun 10-16, 2019",National,Morning Consult,"17,226",LV,B-,38,19,7,11,7,3,1,0,1,4,1,1,1,1,-1,6/16/2019,0.0,0.0,0.0,1.0,0.0
"Jun 14-15, 2019",National,HarrisX,424,RV,C+,35,13,5,7,4,3,0,0,0,6,1,2,0,1,-1,6/15/2019,0.0,0.0,0.0,1.0,0.0
"Jun 11-15, 2019",National,Suffolk University,385,LV,B+,30,15,8,10,9,2,1,0,0,2,0,1,0,0,-1,6/15/2019,822.0,178.0,0.0,0.0,0.0
"Jun 11-14, 2019",South Carolina,Change Research,933,LV,C+,37,9,9,17,11,5,3,1,1,4,0,-1,1,1,-1,6/14/2019,0.0,0.0,0.0,1.0,0.0
"Jun 10-13, 2019",National,WPA Intelligence*,"1,000",LV,B,35,14,9,10,8,3,1,0,0,4,0,1,0,1,-1,6/13/2019,0.0,0.0,0.0,0.0,1.0
"Jun 8-12, 2019",Minnesota,Change Research,772,LV,C+,20,19,4,21,11,1,2,-1,0,3,0,1,0,16,-1,6/12/2019,0.0,0.0,0.0,1.0,0.0
"Jun 9-12, 2019",National,Fox News,449,LV,A,32,13,8,9,8,3,2,0,0,4,1,1,1,2,-1,6/12/2019,783.0,218.0,0.0,0.0,0.0
"May 31-Jun 12, 2019",Iowa,YouGov,441,LV,B,30,22,5,12,11,3,0,0,0,4,2,0,1,4,-1,6/12/2019,0.0,0.0,0.0,1.0,0.0
"May 31-Jun 12, 2019",New Hampshire,YouGov,448,LV,B,33,20,7,17,10,3,1,0,0,4,0,0,0,1,-1,6/12/2019,0.0,0.0,0.0,1.0,0.0
"May 31-Jun 12, 2019",South Carolina,YouGov,559,LV,B,45,18,7,8,6,4,1,0,0,4,0,0,0,1,-1,6/12/2019,0.0,0.0,0.0,1.0,0.0
"Jun 7-11, 2019",Florida,Climate Nexus,676,RV,Missing,32,16,6,10,6,2,2,1,0,2,2,0,0,1,-1,6/11/2019,0.0,0.0,0.0,1.0,0.0
"Jun 6-11, 2019",Nevada,Monmouth University,370,LV,A+,36,13,6,19,7,2,2,0,1,2,0,1,1,1,-1,6/11/2019,239.0,131.0,0.0,0.0,0.0
"Jun 9-11, 2019",National,YouGov,513,LV,B,26,12,6,16,8,2,1,1,0,3,0,1,0,1,-1,6/11/2019,0.0,0.0,0.0,1.0,0.0
"Jun 5-10, 2019",National,Change Research,"1,621",LV,C+,26,21,8,19,14,1,1,0,0,3,0,0,1,1,-1,6/10/2019,0.0,0.0,0.0,1.0,0.0
"Jun 6-10, 2019",National,Quinnipiac University,503,RV,A-,30,19,7,15,8,1,1,0,0,3,0,0,0,1,-1,6/10/2019,0.5,0.5,0.0,0.0,0.0
"Jun 4-10, 2019",California,UC Berkeley,"2,131",LV,Missing,22,17,13,18,10,1,1,-1,0,3,0,1,-1,1,-1,6/10/2019,0.0,0.0,0.0,1.0,0.0
"Jun 3-9, 2019",National,Morning Consult,"17,012",LV,B-,37,19,7,11,7,3,1,0,0,4,1,1,1,2,-1,6/9/2019,0.0,0.0,0.0,1.0,0.0
"Jun 5-9, 2019",Massachusetts,Suffolk University,370,LV,B+,22,6,5,10,8,1,1,0,0,1,0,0,1,0,-1,6/9/2019,0.5,0.5,0.0,0.0,0.0
"May 31-Jun 9, 2019",Texas,YouGov,483,LV,B,23,12,5,14,8,1,0,0,0,15,1,3,3,1,-1,6/9/2019,0.0,0.0,0.0,1.0,0.0
"May 29-Jun 6, 2019",Virginia,Hampton University,"1,126",RV,C+,36,17,7,13,11,2,1,0,0,3,0,2,0,0,-1,6/6/2019,0.0,0.0,0.0,0.0,1.0
"May 29-Jun 5, 2019",National,Ipsos,"2,271",RV,B+,31,14,6,9,5,2,1,1,0,3,0,1,1,2,-1,6/5/2019,0.0,0.0,0.0,1.0,0.0
"Jun 2-5, 2019",Iowa,Selzer & Co.,600,LV,A+,24,16,7,15,14,1,1,0,0,2,1,1,1,2,-1,6/5/2019,0.5,0.5,0.0,0.0,0.0
"May 29-Jun 4, 2019",Texas,Quinnipiac University,407,RV,A-,30,15,4,11,3,1,1,0,1,16,2,4,0,0,-1,6/4/2019,0.5,0.5,0.0,0.0,0.0
"Jun 2-4, 2019",National,YouGov,550,LV,B,27,16,8,11,9,2,1,2,0,2,1,0,1,1,-1,6/4/2019,0.0,0.0,0.0,1.0,0.0
"May 31-Jun 3, 2019",National,Avalanche Strategy,"1,109",LV,Missing,29,17,12,16,13,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,6/3/2019,0.0,0.0,0.0,1.0,0.0
"May 30-Jun 3, 2019",Texas,Change Research,"1,218",LV,C+,24,13,8,12,8,1,1,0,0,27,0,2,0,1,-1,6/3/2019,0.0,0.0,0.0,1.0,0.0
"May 31-Jun 3, 2019",North Carolina,Emerson College,397,LV,B+,39,22,5,15,8,1,1,1,0,3,0,0,0,1,-1,6/3/2019,0.0,527.0,0.0,405.0,0.0
"Jun 1-2, 2019",National,HarrisX,431,RV,C+,35,16,4,5,8,3,0,0,1,4,0,0,0,1,-1,6/2/2019,0.0,0.0,0.0,1.0,0.0
"May 27-Jun 2, 2019",National,Morning Consult,"16,587",LV,B-,38,19,7,10,7,3,1,1,1,4,1,1,1,1,-1,6/2/2019,0.0,0.0,0.0,1.0,0.0
"May 1-31, 2019",California,Capitol Weekly,951,LV,Missing,29,22,17,11,9,2,0,0,0,4,-1,1,0,1,-1,5/31/2019,0.0,0.0,0.0,1.0,0.0
"May 28-31, 2019",National,CNN/SSRS,412,RV,A-,32,18,8,7,5,3,1,0,0,5,0,2,1,2,-1,5/31/2019,651.0,355.0,0.0,0.0,0.0
"May 29-30, 2019",National,Harris Interactive,471,RV,C+,36,17,8,5,5,3,1,-1,0,4,1,1,0,0,-1,5/30/2019,0.0,0.0,0.0,1.0,0.0
"May 23-29, 2019",Arizona,Zogby Interactive/JZ Analytics,197,LV,C,35,16,4,10,6,2,0,-1,-1,2,-1,2,1,0,-1,5/29/2019,0.0,0.0,0.0,1.0,0.0
"May 23-29, 2019",Florida,Zogby Interactive/JZ Analytics,228,LV,C,34,18,2,7,6,2,1,-1,-1,4,0,1,2,1,-1,5/29/2019,0.0,0.0,0.0,1.0,0.0
"May 23-29, 2019",Michigan,Zogby Interactive/JZ Analytics,268,LV,C,27,18,7,8,9,1,2,-1,-1,4,1,1,1,1,-1,5/29/2019,0.0,0.0,0.0,1.0,0.0
"May 23-29, 2019",Ohio,Zogby Interactive/JZ Analytics,222,LV,C,29,19,5,12,6,3,3,-1,-1,2,1,0,1,1,-1,5/29/2019,0.0,0.0,0.0,1.0,0.0
"May 23-29, 2019",Pennsylvania,Zogby Interactive/JZ Analytics,246,LV,C,46,15,3,8,9,2,1,-1,-1,2,0,1,0,0,-1,5/29/2019,0.0,0.0,0.0,1.0,0.0
"May 23-29, 2019",South Carolina,Zogby Interactive/JZ Analytics,183,LV,C,36,13,4,12,7,4,0,-1,-1,2,0,1,1,0,-1,5/29/2019,0.0,0.0,0.0,1.0,0.0
"May 23-29, 2019",Wisconsin,Zogby Interactive/JZ Analytics,238,LV,C,28,13,7,14,7,2,0,-1,-1,1,0,1,1,3,-1,5/29/2019,0.0,0.0,0.0,1.0,0.0
"May 25-28, 2019",California,Change Research,"1,649",LV,C+,30,23,15,12,12,1,1,-1,0,3,-1,1,1,0,-1,5/28/2019,0.0,0.0,0.0,1.0,0.0
"May 20-26, 2019",National,Morning Consult,"16,368",LV,B-,38,20,7,9,7,3,1,0,1,4,1,1,1,1,-1,5/26/2019,0.0,0.0,0.0,1.0,0.0
"May 23-25, 2019",National,HarrisX,881,RV,C+,33,15,6,7,5,3,1,-1,0,3,1,1,0,1,-1,5/25/2019,0.0,0.0,0.0,1.0,0.0
"May 22-24, 2019",South Carolina,Tel Opinion Research,600,LV,B,37,10,7,8,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5/24/2019,288.0,312.0,0.0,0.0,0.0
"May 20-22, 2019",New Hampshire,Tel Opinion Research,600,LV,B,33,12,7,11,7,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5/22/2019,200.0,400.0,0.0,0.0,0.0
"May 18-21, 2019",National,Change Research,"1,420",LV,C+,31,22,8,15,9,2,2,1,0,4,0,0,1,1,-1,5/21/2019,0.0,0.0,0.0,1.0,0.0
"May 20-21, 2019",National,Echelon Insights,447,RV,Missing,38,16,5,5,5,2,1,0,0,5,0,1,0,2,-1,5/21/2019,0.0,0.0,0.0,1.0,0.0
"May 16-20, 2019",National,Monmouth University,334,RV,A+,33,15,11,10,6,1,1,1,1,4,0,1,1,3,-1,5/20/2019,480.0,322.0,0.0,0.0,0.0
"May 16-20, 2019",National,Quinnipiac University,454,RV,A-,35,16,8,13,5,3,1,0,0,2,0,1,1,2,-1,5/20/2019,0.5,0.5,0.0,0.0,0.0
"May 15-19, 2019",Iowa,Change Research,615,LV,C+,24,24,10,12,14,1,2,-1,0,5,1,0,1,2,-1,5/19/2019,0.0,0.0,0.0,1.0,0.0
"May 16-19, 2019",Florida,Florida Atlantic University,403,LV,C+,39,12,7,12,9,1,1,-1,0,5,0,2,0,1,-1,5/19/2019,0.0,604.0,0.0,403.0,0.0
"May 13-19, 2019",National,Morning Consult,"14,830",LV,B-,39,19,8,9,6,3,1,1,0,4,1,1,1,1,-1,5/19/2019,0.0,0.0,0.0,1.0,0.0
"May 17-18, 2019",National,HarrisX,448,RV,C+,33,14,6,8,6,1,1,0,0,5,0,1,0,1,-1,5/18/2019,0.0,0.0,0.0,1.0,0.0
"May 14-16, 2019",South Carolina,Crantford Research,381,LV,Missing,42,7,10,8,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5/16/2019,0.0,0.0,0.0,1.0,0.0
"May 11-14, 2019",National,Fox News,469,LV,A,35,17,5,9,6,3,1,-1,1,4,1,2,1,2,-1,5/14/2019,777.0,231.0,0.0,0.0,0.0
"May 10-14, 2019",National,Ipsos,964,RV,B+,32,14,7,7,4,2,1,0,0,6,0,1,0,1,-1,5/14/2019,0.0,0.0,0.0,1.0,0.0
"May 9-14, 2019",Pennsylvania,Quinnipiac University,431,RV,A-,39,13,8,8,6,5,0,-1,0,2,0,0,0,1,-1,5/14/2019,0.5,0.5,0.0,0.0,0.0
"May 10-13, 2019",National,Emerson College,429,LV,B+,33,25,10,10,8,1,1,-1,0,3,0,2,1,1,-1,5/13/2019,0.0,604.0,0.0,402.0,0.0
"May 8-13, 2019",National,HarrisX,"2,207",RV,C+,39,20,6,8,5,4,1,-1,1,5,1,1,0,2,-1,5/13/2019,0.0,0.0,0.0,1.0,0.0
"May 9-12, 2019",Nevada,Change Research,389,LV,C+,29,24,11,12,13,2,1,-1,-1,4,-1,1,1,1,-1,5/12/2019,0.0,0.0,0.0,1.0,0.0
"May 6-12, 2019",National,Morning Consult,"15,342",LV,B-,39,19,8,8,6,3,1,0,-1,5,0,1,1,2,-1,5/12/2019,0.0,0.0,0.0,1.0,0.0
"May 7-11, 2019",National,McLaughlin & Associates,360,LV,C-,30,19,7,7,4,5,2,0,0,5,0,1,0,2,-1,5/11/2019,0.0,0.0,0.0,1.0,0.0
"May 8-10, 2019",Michigan,Denno Research,235,LV,Missing,37,16,4,9,5,3,0,-1,0,1,0,0,1,1,-1,5/10/2019,210.0,390.0,0.0,0.0,0.0
"May 6-9, 2019",South Carolina,Change Research,595,LV,C+,46,15,10,8,8,4,2,-1,1,2,0,0,0,1,-1,5/9/2019,0.0,0.0,0.0,1.0,0.0
"May 2-9, 2019",National,Zogby Interactive/JZ Analytics,463,LV,C,37,15,5,6,7,3,2,-1,-1,5,1,1,1,2,-1,5/9/2019,0.0,0.0,0.0,1.0,0.0
8-May-19,Florida,Tel Opinion Research,800,LV,B,39,16,5,5,3,1,-1,-1,-1,1,-1,-1,-1,1,-1,5/8/2019,464.0,336.0,0.0,0.0,0.0
"May 2-7, 2019",New Hampshire,Monmouth University,376,LV,A+,36,18,6,8,9,2,1,0,0,2,0,0,0,2,-1,5/7/2019,158.0,218.0,0.0,0.0,0.0
"May 3-5, 2019",New Hampshire,Change Research,864,LV,C+,26,30,8,9,12,2,2,-1,0,3,2,0,1,1,-1,5/5/2019,0.0,0.0,0.0,1.0,0.0
"May 1-5, 2019",National,GBAO,800,LV,B,36,13,6,8,5,3,-1,-1,-1,4,-1,1,-1,1,-1,5/5/2019,0.5,0.5,0.0,0.0,0.0
"Apr 29-May 5, 2019",National,Morning Consult,"15,770",LV,B-,40,19,7,8,6,3,1,-1,-1,5,1,1,1,2,-1,5/5/2019,0.0,0.0,0.0,1.0,0.0
"Apr 29-May 5, 2019",Indiana,We Ask America,280,LV,C,33,23,3,2,20,1,-1,-1,-1,2,-1,-1,-1,-1,-1,5/5/2019,0.0,0.0,0.0,1.0,0.0
"May 3-4, 2019",National,HarrisX,440,RV,C+,46,14,6,7,8,3,1,-1,1,3,1,1,1,0,-1,5/4/2019,0.0,0.0,0.0,1.0,0.0
"Apr 30-May 2, 2019",Iowa,Firehouse Strategies/Øptimus,576,LV,C-,35,14,5,10,11,2,-1,-1,-1,3,-1,-1,-1,4,-1,5/2/2019,118.0,228.0,284.0,0.0,0.0
"Apr 30-May 2, 2019",New Hampshire,Firehouse Strategies/Øptimus,551,LV,C-,34,16,7,9,10,1,-1,-1,-1,3,-1,-1,-1,1,-1,5/2/2019,128.0,221.0,238.0,0.0,0.0
"Apr 30-May 2, 2019",South Carolina,Firehouse Strategies/Øptimus,568,LV,C-,48,12,4,5,5,4,-1,-1,-1,1,-1,-1,-1,1,-1,5/2/2019,118.0,252.0,184.0,0.0,0.0
"Apr 30-May 1, 2019",National,Harris Interactive,259,RV,C+,44,14,9,5,2,3,0,-1,0,3,1,0,0,2,-1,5/1/2019,0.0,0.0,0.0,1.0,0.0
"Apr 15-30, 2019",California,Capitol Weekly,"1,041",LV,Missing,20,20,17,10,19,2,-1,-1,-1,4,-1,0,-1,3,-1,4/30/2019,0.0,0.0,0.0,1.0,0.0
"Apr 26-30, 2019",Virginia,Change Research,551,LV,C+,41,20,5,10,12,3,1,-1,0,4,0,2,0,1,-1,4/30/2019,0.0,0.0,0.0,1.0,0.0
"Apr 26-29, 2019",National,Quinnipiac University,419,RV,A-,38,11,8,12,10,2,1,-1,0,5,0,1,0,1,-1,4/29/2019,0.5,0.5,0.0,0.0,0.0
"Apr 25-28, 2019",National,CNN/SSRS,411,RV,A-,39,15,5,8,7,2,1,0,1,6,0,1,2,2,-1,4/28/2019,649.0,358.0,0.0,0.0,0.0
"Apr 25-28, 2019",Texas,Emerson College,342,LV,B+,23,17,3,7,8,1,3,-1,0,22,1,4,0,3,-1,4/28/2019,0.0,559.0,0.0,240.0,0.0
"Apr 26-28, 2019",National,HarrisX,741,RV,C+,33,16,5,6,5,3,0,-1,0,5,1,1,1,1,-1,4/28/2019,0.0,0.0,0.0,1.0,0.0
"Apr 22-28, 2019",National,Morning Consult,"15,475",LV,B-,36,22,7,9,8,3,2,-1,-1,5,1,1,1,2,-1,4/28/2019,0.0,0.0,0.0,1.0,0.0
"Apr 25-28, 2019",New Hampshire,Suffolk University,429,LV,B+,20,12,6,8,12,3,1,0,0,3,1,0,1,1,-1,4/28/2019,0.5,0.5,0.0,0.0,0.0
"Apr 22-25, 2019",National,ABC News/Washington Post,427,A,A+,17,11,4,4,5,1,0,-1,-1,4,-1,0,-1,1,-1,4/25/2019,650.0,350.0,0.0,0.0,0.0
"Apr 17-23, 2019",National,Ipsos,"2,237",A,B+,24,15,6,5,7,3,1,-1,0,6,0,1,0,1,-1,4/23/2019,0.0,0.0,0.0,1.0,0.0
"Apr 18-22, 2019",Texas,Change Research,"1,578",LV,C+,20,19,5,5,15,2,1,-1,-1,25,-1,4,0,1,-1,4/22/2019,0.0,0.0,0.0,1.0,0.0
"Apr 15-21, 2019",National,Morning Consult,"14,335",LV,B-,30,24,8,7,9,4,2,-1,-1,6,0,1,1,2,-1,4/21/2019,0.0,0.0,0.0,1.0,0.0
"Apr 17-19, 2019",National,Echelon Insights,499,RV,Missing,26,22,6,3,7,3,2,0,0,9,1,1,0,1,-1,4/19/2019,0.0,0.0,0.0,1.0,0.0
"Apr 17-18, 2019",Iowa,Gravis Marketing,590,LV,C+,19,19,6,6,14,4,1,-1,-1,5,2,0,1,4,-1,4/18/2019,0.5,0.5,0.0,0.5,0.0
"Apr 10-18, 2019",New Hampshire,University of New Hampshire,241,LV,B,18,30,4,5,15,3,2,-1,0,3,0,0,1,2,-1,4/18/2019,193.0,48.0,0.0,0.0,0.0
"Apr 15-18, 2019",Wisconsin,Zogby Interactive/JZ Analytics,485,LV,C,24,20,7,6,10,4,1,-1,-1,5,0,1,0,4,-1,4/18/2019,0.0,0.0,0.0,1.0,0.0
"Apr 12-15, 2019",National,Change Research,"2,518",LV,C+,21,20,7,8,17,4,2,-1,0,9,0,1,2,2,-1,4/15/2019,0.0,0.0,0.0,1.0,0.0
