Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail,Methodology Details,Methodology URL
"Feb 18-26, 2019",New Hampshire,University of New Hampshire,240,LV,B,22,26,10,7,1,3,-1,-1,-1,5,0,-1,1,4,-1,2/26/2019,192,48,,0,,,
"Feb 18-26, 2019",New Hampshire,University of New Hampshire,240,LV,B,8,28,6,2,1,2,1,-1,0,1,0,-1,1,3,-1,2/26/2019,192,48,,0,,,
"Feb 21-22, 2019",New Hampshire,Emerson College,405,LV,B+,25,27,12,9,1,5,-1,-1,-1,5,1,0,0,8,-1,2/22/2019,0,605,0,305,,,
"Feb 15-18, 2019",South Carolina,Change Research,600,LV,C+,36,14,13,9,-1,10,1,0,0,8,0,1,1,1,-1,2/18/2019,,,,1,,,
"Feb 15-18, 2019",South Carolina,Change Research,600,LV,C+,-1,-1,35,20,1,28,1,-1,2,-1,3,4,2,5,-1,2/18/2019,,,,1,,,
"Feb 7-15, 2019",New Hampshire,YouGov,337,LV,B,28,20,14,9,-1,3,-1,-1,-1,6,-1,1,-1,1,-1,2/15/2019,,,,1,,,
"Feb 9-11, 2019",California,Change Research,948,LV,C+,26,20,26,7,1,3,0,-1,0,8,0,2,1,1,-1,2/11/2019,,,,1,,,
"Jan 30-Feb 2, 2019",Iowa,Emerson College,260,LV,B+,29,15,18,11,0,4,0,-1,-1,6,1,2,0,3,-1,2/2/2019,0,582,,249,,,
"Jan 31-Feb 2, 2019",Iowa,Firehouse Strategies Optimus,558,LV,C-,25,10,17,11,-1,4,-1,-1,-1,4,-1,-1,-1,5,-1,2/2/2019,113,224,221,0,,,
"Jan 31-Feb 2, 2019",New Hampshire,Firehouse Strategies Optimus,518,LV,C-,22,13,13,9,-1,4,-1,-1,-1,2,-1,-1,-1,2,-1,2/2/2019,143,231,144,0,,,
"Jan 31-Feb 2, 2019",South Carolina,Firehouse Strategies Optimus,557,LV,C-,36,8,12,4,-1,5,-1,-1,-1,2,-1,-1,-1,1,-1,2/2/2019,121,254,182,0,,,
"Jan 2-3, 2019",New Hampshire,Change Research,"1,162",LV,C+,24,26,4,11,-1,3,-1,-1,-1,9,0,0,-1,2,1,1/3/2019,,,,1,,,
"Dec 13-17, 2018",Iowa,Change Research,"1,291",LV,C+,20,20,7,7,-1,4,-1,-1,-1,19,1,1,-1,5,0,12/17/2018,,,,1,,,
"Dec 10-13, 2018",Iowa,Selzer & Co.,455,LV,A+,32,19,5,8,-1,4,0,-1,-1,11,1,1,-1,3,0,12/13/2018,Unclear,Unclear,,0,,,
"Dec 10-11, 2018",Iowa,David Binder Research,500,LV,-10,30,13,7,9,-1,6,-1,-1,-1,11,1,-1,-1,10,-1,12/11/2018,Unclear,Unclear,,0,,,
"Nov 7-14, 2018",Massachusetts,YouGov,655,RV,B,19,14,6,11,-1,3,-1,-1,-1,10,-1,-1,-1,3,-1,11/14/2018,,,,1,,,
